order_date,pages_visited,order_id,customer_id,tshirt_category,tshirt_price,tshirt_quantity
2014/01/02,12,HTS-0001,108837,Black T-Shirt M,19.0,1
2015/09/08,11,HTS-0001,pq3m7c,Hoodie,23.0,1
2016/12/19,8,HTS-0002,0lkdil,Black T-Shirt F,17.5,1
2013/12/20,9,HTS-0001,601106,Hoodie,23.0,16
2015/09/30,11,HTS-0001,0jkgoq,Black T-Shirt M,19.0,3
2014/09/02,14,HTS-0001,495349,Hoodie,23.0,1
2016/08/02,12,HTS-0001,187179,White T-Shirt F,18.0,1
2016/01/31,10,HTS-0002,2y07r3,Tennis Shirt,24.0,2
2015/08/02,19,HTS-0001,318409,Black T-Shirt M,19.0,1
2015/10/12,13,HTS-0003,732802,White T-Shirt F,18.0,2
2016/02/21,17,HTS-0001,750705,White T-Shirt M,20.0,1
2014/09/15,6,HTS-0002,964210,Black T-Shirt F,17.5,1
2015/12/13,11,HTS-0001,f5soew,Hoodie,23.0,2
2014/12/09,19,HTS-0001,308735,White T-Shirt M,20.0,2
2015/06/23,6,HTS-0002,162811,Black T-Shirt M,19.0,3
2017/02/25,11,HTS-0006,240712,Tennis Shirt,24.0,2
2016/02/10,11,HTS-0002,0pgrbi,Hoodie,23.0,3
2014/02/01,16,HTS-0001,071858,White T-Shirt M,20.0,3
2015/10/18,13,HTS-0001,k2st8f,Black T-Shirt F,17.5,4
2014/05/20,13,HTS-0001,637773,Black T-Shirt F,17.5,3
2014/11/12,5,HTS-0001,483739,White T-Shirt M,20.0,2
2015/08/18,10,HTS-0001,6hmdy8,Black T-Shirt F,17.5,4
2013/08/26,14,HTS-0001,760379,Hoodie,23.0,1
2014/11/06,12,HTS-0001,293211,White T-Shirt F,18.0,2
2014/07/22,7,HTS-0001,823002,White T-Shirt M,20.0,2
2015/01/28,11,HTS-0001,710433,White T-Shirt F,18.0,1
2015/12/09,6,HTS-0002,636741,Hoodie,23.0,1
2016/05/03,20,HTS-0003,798156,Black T-Shirt M,19.0,1
2014/08/16,11,HTS-0001,353872,White T-Shirt M,20.0,1
2016/12/06,16,HTS-0002,kuqsq1,Black T-Shirt F,17.5,1
2016/11/11,13,HTS-0001,bv8gw3,Black T-Shirt M,19.0,1
2015/09/22,13,HTS-0001,33e51w,White T-Shirt F,18.0,7
2015/11/30,12,HTS-0001,834127,White T-Shirt F,18.0,1
2016/08/22,15,HTS-0001,3uouz3,White T-Shirt M,20.0,1
2015/08/12,16,HTS-0001,grd2ue,Hoodie,23.0,2
2014/01/27,13,HTS-0001,495119,Tennis Shirt,24.0,1
2016/11/25,6,HTS-0001,vz1jgr,White T-Shirt F,18.0,2
2016/04/13,6,HTS-0003,075826,White T-Shirt M,20.0,1
2015/03/12,15,HTS-0001,958838,White T-Shirt M,20.0,2
2015/12/25,10,HTS-0003,301810,Hoodie,23.0,3
2015/01/31,16,HTS-0001,818286,Hoodie,23.0,1
2015/10/17,4,HTS-0005,601868,Black T-Shirt M,19.0,1
2015/05/01,17,HTS-0002,917138,White T-Shirt M,20.0,2
2016/08/08,6,HTS-0001,lby2fl,White T-Shirt M,20.0,1
2015/10/15,13,HTS-0001,vajch6,Black T-Shirt F,17.5,1
2016/01/30,9,HTS-0001,019747,White T-Shirt F,18.0,1
2016/10/21,12,HTS-0004,797630,Black T-Shirt F,17.5,2
2016/12/27,11,HTS-0003,moudrf,White T-Shirt F,18.0,4
2014/10/27,7,HTS-0001,116680,Black T-Shirt F,17.5,1
2016/09/20,12,HTS-0001,5j3r5q,White T-Shirt M,20.0,1
2014/09/25,15,HTS-0002,882780,Black T-Shirt M,19.0,1
2015/12/02,5,HTS-0003,521731,White T-Shirt M,20.0,2
2016/10/16,21,HTS-0001,qgqhv6,White T-Shirt F,18.0,1
2015/07/22,9,HTS-0001,ar83mg,Tennis Shirt,24.0,2
2017/01/03,8,HTS-0003,442064,White T-Shirt M,20.0,1
2013/12/13,10,HTS-0002,286810,Bl Tshirt F,17.5,1
2014/11/10,19,HTS-0001,273332,White T-Shirt M,20.0,1
2016/07/14,16,HTS-0001,397705,Black T-Shirt M,19.0,1
2015/04/18,11,HTS-0002,916341,Hoodie,23.0,2
2014/10/14,12,HTS-0001,481997,Black T-Shirt F,17.5,3
2015/12/09,15,HTS-0002,877835,Hoodie,23.0,3
2017/01/27,8,HTS-0004,mzfgyu,Black T-Shirt F,17.5,2
2016/08/06,10,HTS-0001,w6nkip,Black T-Shirt M,19.0,1
2017/02/08,3,HTS-0003,173007,Tennis Shirt,24.0,3
2017/02/13,11,HTS-0002,6ipkrh,Black T-Shirt F,17.5,3
2016/04/05,8,HTS-0001,751922,White T-Shirt M,20.0,1
2014/11/26,7,HTS-0001,396526,Hoodie,23.0,1
2014/12/21,13,HTS-0001,378351,Black T-Shirt M,19.0,1
2015/06/01,13,HTS-0003,426579,Tennis Shirt,24.0,4
2015/11/05,12,HTS-0001,pqtpnh,Black T-Shirt M,19.0,2
2015/12/20,12,HTS-0004,919747,White T-Shirt F,18.0,2
2016/03/25,10,HTS-0001,9cuan5,White T-Shirt M,20.0,1
2015/03/11,11,HTS-0002,842157,Black T-Shirt M,19.0,5
2017/02/23,17,HTS-0002,867868,White T-Shirt F,18.0,1
2013/09/22,17,HTS-0001,279650,Hoodie,23.0,1
2013/12/20,12,HTS-0001,570589,Wh Tshirt M,20.0,1
2014/12/17,17,HTS-0002,512205,White T-Shirt M,20.0,6
2015/12/30,9,HTS-0001,ggj8vc,White T-Shirt F,18.0,1
2017/03/17,11,HTS-0003,671947,Hoodie,23.0,2
2017/02/12,19,HTS-0001,771496,Hoodie,23.0,1
2016/03/08,13,HTS-0001,007955,Tennis Shirt,24.0,1
2016/10/26,10,HTS-0005,738171,Black T-Shirt M,19.0,3
2017/02/15,7,HTS-0004,412242,White T-Shirt M,20.0,2
2015/10/04,6,HTS-0003,469269,White T-Shirt M,20.0,2
2017/01/27,9,HTS-0001,410722,White T-Shirt M,20.0,1
2015/03/20,15,HTS-0002,995267,White T-Shirt F,18.0,5
2015/12/28,9,HTS-0003,103700,White T-Shirt M,20.0,1
2014/12/09,11,HTS-0001,166680,White T-Shirt M,20.0,16
2016/11/11,9,HTS-0002,907613,Tennis Shirt,24.0,1
2013/09/29,13,HTS-0001,820263,Hoodie,23.0,9
2014/09/11,7,HTS-0002,689555,Hoodie,23.0,3
2015/09/07,12,HTS-0002,006743,Black T-Shirt F,17.5,1
2013/08/19,10,HTS-0001,534052,Bl Tshirt M,19.0,1
2017/02/05,15,HTS-0002,u1b11m,White T-Shirt M,20.0,1
2016/08/01,7,HTS-0003,697637,White T-Shirt F,18.0,1
2015/06/26,12,HTS-0003,411983,White T-Shirt M,20.0,2
2016/01/25,8,HTS-0001,611054,Hoodie,23.0,1
2016/07/01,4,HTS-0003,865156,White T-Shirt M,20.0,2
2016/10/11,13,HTS-0002,290417,White T-Shirt M,20.0,2
2017/01/20,8,HTS-0003,261777,Hoodie,23.0,14
2017/03/14,10,HTS-0001,030004,Hoodie,23.0,1
2017/02/02,11,HTS-0005,766952,White T-Shirt M,20.0,3
2015/12/27,18,HTS-0001,b0hok2,Black T-Shirt M,19.0,3
2014/08/25,6,HTS-0001,499669,Hoodie,23.0,1
2016/09/19,14,HTS-0002,vqcn42,White T-Shirt M,20.0,2
2013/11/06,7,HTS-0001,192588,Hoodie,23.0,2
2015/08/28,5,HTS-0004,465652,White T-Shirt F,18.0,14
2017/02/11,9,HTS-0003,u7qthj,White T-Shirt M,20.0,3
2016/06/01,14,HTS-0001,kbyw6j,White T-Shirt M,20.0,4
2013/08/02,17,HTS-0001,148331,Tennis Shirt,24.0,3
2014/08/05,10,HTS-0002,702063,White T-Shirt F,18.0,2
2016/10/22,18,HTS-0001,441110,White T-Shirt F,18.0,1
2016/08/31,6,HTS-0002,tsgo24,Hoodie,23.0,1
2014/10/22,7,HTS-0002,945715,White T-Shirt F,18.0,2
2015/08/07,10,HTS-0001,a3jj90,White T-Shirt F,18.0,1
2015/07/01,7,HTS-0003,424554,White T-Shirt F,18.0,5
2014/10/29,18,HTS-0001,919413,White T-Shirt F,18.0,2
2015/11/02,17,HTS-0001,7xehc3,Hoodie,23.0,2
2016/06/19,13,HTS-0001,9pw0o5,Hoodie,23.0,2
2016/02/03,12,HTS-0002,110892,Hoodie,23.0,25
2017/02/09,8,HTS-0002,2osl9i,White T-Shirt F,18.0,2
2016/12/17,11,HTS-0002,wst4iq,Tennis Shirt,24.0,4
2014/05/20,9,HTS-0002,958225,White T-Shirt F,18.0,2
2015/12/01,11,HTS-0003,015745,Hoodie,23.0,3
2016/12/29,10,HTS-0006,131918,White T-Shirt F,18.0,3
2015/02/12,7,HTS-0002,172798,Black T-Shirt F,17.5,17
2015/04/12,10,HTS-0002,078015,White T-Shirt F,18.0,2
2016/08/16,6,HTS-0003,462640,Hoodie,23.0,1
2016/01/13,8,HTS-0005,414126,Tennis Shirt,24.0,2
2016/04/12,10,HTS-0005,915912,Black T-Shirt M,19.0,4
2016/08/12,13,HTS-0002,318044,Hoodie,23.0,1
2017/02/21,8,HTS-0004,548687,Hoodie,23.0,4
2017/03/28,17,HTS-0001,u1jc9a,White T-Shirt M,20.0,1
2013/09/07,19,HTS-0001,319455,Wh Tshirt M,20.0,2
2016/11/15,8,HTS-0002,sievog,White T-Shirt M,20.0,2
2014/10/17,4,HTS-0004,158219,Black T-Shirt F,17.5,2
2016/06/03,7,HTS-0001,zbupdg,White T-Shirt M,20.0,1
2014/10/24,7,HTS-0001,599003,Black T-Shirt M,19.0,2
2014/09/23,10,HTS-0001,545953,White T-Shirt M,20.0,1
2014/10/05,9,HTS-0001,346170,Black T-Shirt F,17.5,2
2013/11/22,10,HTS-0001,485440,Wh Tshirt M,20.0,3
2017/03/01,7,HTS-0004,310310,Black T-Shirt M,19.0,1
2015/07/16,10,HTS-0002,059199,Black T-Shirt F,17.5,1
2017/03/07,17,HTS-0002,9hab0r,Tennis Shirt,24.0,1
2014/12/15,10,HTS-0003,545732,Black T-Shirt F,17.5,1
2014/10/02,9,HTS-0001,768228,Black T-Shirt F,17.5,3
2017/03/15,20,HTS-0004,852981,Black T-Shirt F,17.5,4
2016/12/01,13,HTS-0001,562002,Black T-Shirt F,17.5,1
2016/07/11,10,HTS-0002,769301,White T-Shirt M,20.0,1
2015/08/13,19,HTS-0001,718227,Black T-Shirt M,19.0,1
2013/10/03,8,HTS-0001,293235,Bl Tshirt M,19.0,1
2015/12/29,5,HTS-0002,491676,White T-Shirt M,20.0,1
2014/07/27,12,HTS-0002,635408,Tennis Shirt,24.0,16
2014/09/18,14,HTS-0001,294526,Black T-Shirt F,17.5,2
2015/08/31,4,HTS-0003,089402,White T-Shirt M,20.0,2
2016/07/14,16,HTS-0001,198056,White T-Shirt M,20.0,1
2015/08/25,5,HTS-0002,011861,Black T-Shirt F,17.5,4
2016/09/03,11,HTS-0005,074702,White T-Shirt M,20.0,1
2014/12/19,14,HTS-0001,159976,Hoodie,23.0,19
2014/12/20,11,HTS-0001,249873,White T-Shirt F,18.0,2
2015/09/11,20,HTS-0001,398537,White T-Shirt F,18.0,1
2016/06/15,11,HTS-0002,1707t4,Hoodie,23.0,2
2014/01/14,13,HTS-0002,486520,White T-Shirt F,18.0,5
2015/07/21,13,HTS-0002,550064,White T-Shirt M,20.0,1
2016/01/10,5,HTS-0003,426512,White T-Shirt F,18.0,2
2014/12/24,12,HTS-0004,166597,Hoodie,23.0,3
2016/10/27,10,HTS-0002,m2kwxv,Black T-Shirt M,19.0,2
2016/01/08,10,HTS-0003,608352,Black T-Shirt F,17.5,2
2013/05/15,12,HTS-0001,266260,Wh Tshirt M,20.0,1
2016/06/25,2,HTS-0009,266260,Hoodie,23.0,1
2015/04/30,14,HTS-0002,829093,White T-Shirt M,20.0,4
2015/04/12,8,HTS-0002,398359,Tennis Shirt,24.0,3
2016/05/10,15,HTS-0002,925489,Hoodie,23.0,2
2016/02/05,10,HTS-0003,919932,Hoodie,23.0,1
2015/10/03,8,HTS-0004,124562,White T-Shirt F,18.0,2
2016/06/30,11,HTS-0003,801694,Black T-Shirt M,19.0,2
2014/01/12,9,HTS-0001,173291,White T-Shirt M,20.0,1
2015/12/11,17,HTS-0001,res9z8,White T-Shirt M,20.0,2
2017/01/03,12,HTS-0001,146030,White T-Shirt M,20.0,1
2017/01/17,4,HTS-0006,172689,White T-Shirt F,18.0,2
2014/03/18,7,HTS-0001,987945,Black T-Shirt F,17.5,12
2017/04/06,8,HTS-0004,btom5o,Hoodie,23.0,3
2013/11/24,12,HTS-0001,445629,Hoodie,23.0,1
2017/03/30,16,HTS-0004,378589,White T-Shirt M,20.0,3
2013/08/22,11,HTS-0001,528606,Bl Tshirt F,17.5,1
2014/10/24,12,HTS-0001,129344,White T-Shirt F,18.0,1
2016/08/04,5,HTS-0004,155114,White T-Shirt F,18.0,3
2016/11/17,6,HTS-0005,312886,Hoodie,23.0,3
2014/08/14,11,HTS-0002,871783,Black T-Shirt M,19.0,1
2016/07/13,10,HTS-0001,1v2h8p,Hoodie,23.0,1
2016/12/15,8,HTS-0006,260176,Hoodie,23.0,1
2014/12/19,9,HTS-0001,616717,White T-Shirt F,18.0,1
2014/11/07,17,HTS-0002,032960,Black T-Shirt M,19.0,4
2014/02/18,13,HTS-0002,452492,Hoodie,23.0,5
2017/03/12,5,HTS-0003,984757,Hoodie,23.0,2
2016/09/25,4,HTS-0004,237703,Hoodie,23.0,3
2017/01/20,7,HTS-0001,606234,Hoodie,23.0,1
2014/10/04,19,HTS-0001,327970,Black T-Shirt M,19.0,1
2015/07/17,14,HTS-0002,517744,Tennis Shirt,24.0,1
2016/05/14,16,HTS-0001,941775,Black T-Shirt M,19.0,1
2013/11/14,10,HTS-0001,885251,Bl Tshirt M,19.0,1
2016/03/02,4,HTS-0004,273158,White T-Shirt M,20.0,1
2014/11/18,10,HTS-0001,371882,Tennis Shirt,24.0,1
2014/09/07,11,HTS-0002,019607,Hoodie,23.0,12
2016/09/17,10,HTS-0005,554203,Hoodie,23.0,1
2016/09/17,15,HTS-0001,534111,White T-Shirt M,20.0,1
2016/08/24,9,HTS-0003,748366,Hoodie,23.0,4
2014/04/01,7,HTS-0002,246805,Hoodie,23.0,1
2016/08/31,9,HTS-0002,hzh8yf,Black T-Shirt M,19.0,4
2013/11/21,14,HTS-0001,368240,Bl Tshirt M,19.0,2
2014/10/06,10,HTS-0001,296958,White T-Shirt M,20.0,1
2015/12/07,13,HTS-0002,885508,Black T-Shirt F,17.5,1
2014/12/28,8,HTS-0003,672641,White T-Shirt M,20.0,4
2016/06/09,9,HTS-0002,656327,Tennis Shirt,24.0,1
2015/12/27,11,HTS-0001,fzpzqy,Hoodie,23.0,1
2015/05/11,10,HTS-0002,179914,Black T-Shirt M,19.0,2
2016/08/27,13,HTS-0003,976279,Tennis Shirt,24.0,3
2016/12/30,9,HTS-0003,2loire,Hoodie,23.0,6
2015/09/11,15,HTS-0001,wa3q8y,White T-Shirt M,20.0,1
2015/02/07,8,HTS-0001,474660,Hoodie,23.0,1
2017/02/10,9,HTS-0002,1f088i,White T-Shirt M,20.0,2
2015/05/16,5,HTS-0001,919862,Hoodie,23.0,1
2015/11/24,14,HTS-0004,361486,Hoodie,23.0,6
2015/11/12,16,HTS-0001,789469,Black T-Shirt M,19.0,1
2015/06/09,14,HTS-0002,611736,Hoodie,23.0,4
2016/03/04,5,HTS-0006,479670,White T-Shirt F,18.0,4
2016/03/21,12,HTS-0004,670684,Hoodie,23.0,1
2016/02/16,10,HTS-0001,233699,White T-Shirt F,18.0,1
2013/08/23,8,HTS-0001,765374,Bl Tshirt M,19.0,17
2016/02/03,7,HTS-0003,125018,Hoodie,23.0,1
2014/11/18,15,HTS-0001,665949,Hoodie,23.0,1
2014/06/15,6,HTS-0002,028315,Tennis Shirt,24.0,26
2013/11/12,9,HTS-0001,969379,Hoodie,23.0,2
2013/11/02,16,HTS-0001,695667,Wh Tshirt M,20.0,2
2014/07/30,9,HTS-0001,044566,Hoodie,23.0,1
2014/08/18,11,HTS-0001,492469,White T-Shirt M,20.0,2
2017/01/06,9,HTS-0003,753492,White T-Shirt F,18.0,1
2016/03/17,4,HTS-0003,637104,White T-Shirt F,18.0,1
2016/11/06,8,HTS-0005,190781,White T-Shirt F,18.0,1
2017/03/04,19,HTS-0002,906983,Hoodie,23.0,1
2016/10/10,9,HTS-0003,384772,Hoodie,23.0,3
2014/08/13,6,HTS-0002,882589,Tennis Shirt,24.0,2
2014/06/07,12,HTS-0002,059385,White T-Shirt M,20.0,3
2017/01/04,10,HTS-0003,4qix82,Black T-Shirt F,17.5,4
2013/11/06,14,HTS-0001,458802,Bl Tshirt F,17.5,1
2016/06/10,8,HTS-0004,332132,White T-Shirt M,20.0,4
2016/07/18,8,HTS-0004,504073,White T-Shirt M,20.0,3
2014/01/19,11,HTS-0001,052860,Black T-Shirt M,19.0,1
2016/12/07,5,HTS-0002,byn6mv,Hoodie,23.0,2
2015/08/12,10,HTS-0001,566315,Black T-Shirt F,17.5,1
2016/01/10,8,HTS-0005,459652,Hoodie,23.0,4
2014/07/23,8,HTS-0001,085677,Hoodie,23.0,6
2015/09/20,17,HTS-0001,vmboe9,Hoodie,23.0,1
2015/09/06,10,HTS-0002,566470,Black T-Shirt F,17.5,17
2015/11/01,18,HTS-0001,cobf5d,White T-Shirt F,18.0,1
2015/10/20,19,HTS-0001,017071,Tennis Shirt,24.0,1
2015/08/01,16,HTS-0001,yqpwhc,Black T-Shirt M,19.0,3
2016/08/01,13,HTS-0005,644113,White T-Shirt F,18.0,2
2014/07/05,5,HTS-0001,665696,Tennis Shirt,24.0,1
2014/11/16,11,HTS-0001,332848,Black T-Shirt F,17.5,1
2016/09/04,11,HTS-0002,xjcd70,Black T-Shirt M,19.0,9
2017/01/18,6,HTS-0003,983165,Black T-Shirt F,17.5,2
2016/07/27,11,HTS-0003,247365,White T-Shirt F,18.0,1
2014/12/01,16,HTS-0001,585921,Black T-Shirt F,17.5,1
2016/03/02,15,HTS-0001,691149,Tennis Shirt,24.0,1
2015/09/15,13,HTS-0003,598776,Black T-Shirt M,19.0,2
2016/08/03,8,HTS-0003,566318,White T-Shirt M,20.0,1
2014/08/09,11,HTS-0002,657578,Hoodie,23.0,3
2016/05/31,9,HTS-0002,959488,Hoodie,23.0,1
2014/12/26,17,HTS-0003,087878,Hoodie,23.0,2
2015/10/16,15,HTS-0001,o2b1x4,White T-Shirt F,18.0,1
2015/04/22,13,HTS-0002,160588,White T-Shirt F,18.0,1
2016/11/26,9,HTS-0002,4nrxa9,White T-Shirt M,20.0,1
2015/01/07,10,HTS-0003,847108,Hoodie,23.0,3
2017/03/03,9,HTS-0004,271088,Hoodie,23.0,4
2015/12/27,7,HTS-0001,fdc856,Tennis Shirt,24.0,1
2015/07/16,7,HTS-0002,839170,Black T-Shirt F,17.5,2
2017/01/29,12,HTS-0006,065414,Hoodie,23.0,1
2015/11/09,12,HTS-0001,825859,Hoodie,23.0,1
2015/07/17,18,HTS-0002,581066,White T-Shirt M,20.0,1
2017/04/05,11,HTS-0006,412541,Black T-Shirt M,19.0,22
2016/11/17,3,HTS-0003,xreqxp,Hoodie,23.0,2
2014/01/27,13,HTS-0002,553303,White T-Shirt M,20.0,2
2016/10/04,19,HTS-0003,012726,White T-Shirt M,20.0,21
2014/07/25,12,HTS-0002,842191,Black T-Shirt M,19.0,1
2013/08/19,15,HTS-0001,194288,Hoodie,23.0,1
2014/09/16,9,HTS-0001,839037,White T-Shirt M,20.0,2
2014/08/27,11,HTS-0001,359004,White T-Shirt M,20.0,1
2016/12/20,14,HTS-0001,10lgps,Black T-Shirt F,17.5,2
2014/06/05,15,HTS-0003,086618,White T-Shirt M,20.0,1
2014/08/22,11,HTS-0001,627880,White T-Shirt F,18.0,3
2015/12/07,9,HTS-0003,378981,Hoodie,23.0,5
2016/03/05,10,HTS-0002,l3jw2e,White T-Shirt M,20.0,1
2015/12/22,13,HTS-0002,953361,Hoodie,23.0,2
2015/10/30,5,HTS-0003,661692,Black T-Shirt M,19.0,5
2015/08/24,13,HTS-0001,g3snxu,Tennis Shirt,24.0,1
2015/01/11,9,HTS-0002,065097,White T-Shirt M,20.0,3
2016/12/19,10,HTS-0001,656448,Black T-Shirt M,19.0,1
2013/12/10,17,HTS-0001,234080,Wh Tshirt F,18.0,1
2015/08/26,7,HTS-0004,327857,White T-Shirt F,18.0,2
2016/12/20,10,HTS-0006,00q4am,White T-Shirt M,20.0,1
2014/09/26,16,HTS-0002,083761,Black T-Shirt F,17.5,1
2016/05/01,14,HTS-0003,855597,White T-Shirt M,20.0,1
2016/07/18,7,HTS-0005,344964,White T-Shirt M,20.0,1
2015/08/24,12,HTS-0001,q4zelp,White T-Shirt F,18.0,1
2014/12/04,14,HTS-0001,109608,Hoodie,23.0,1
2015/09/11,15,HTS-0001,sgwuna,Hoodie,23.0,1
2016/03/23,20,HTS-0002,297527,White T-Shirt M,20.0,1
2013/09/24,9,HTS-0001,676104,Wh Tshirt F,18.0,1
2016/10/08,8,HTS-0005,421098,White T-Shirt M,20.0,2
2014/03/14,15,HTS-0001,477414,White T-Shirt F,18.0,1
2016/10/27,12,HTS-0003,estvcf,Black T-Shirt M,19.0,4
2016/04/25,8,HTS-0003,147806,White T-Shirt F,18.0,1
2013/12/12,16,HTS-0001,197980,Wh Tshirt M,20.0,1
2015/07/13,10,HTS-0002,685960,White T-Shirt F,18.0,1
2016/02/08,10,HTS-0001,656559,Black T-Shirt F,17.5,1
2013/11/13,10,HTS-0001,436635,Hoodie,23.0,1
2016/02/11,8,HTS-0002,xb486l,Black T-Shirt F,17.5,3
2016/08/30,4,HTS-0006,481306,Black T-Shirt M,19.0,1
2016/10/30,10,HTS-0001,403510,Hoodie,23.0,1
2014/09/03,8,HTS-0001,971597,Black T-Shirt M,19.0,1
2016/06/10,11,HTS-0003,043492,White T-Shirt M,20.0,2
2015/12/19,8,HTS-0001,lj9q1g,White T-Shirt F,18.0,1
2014/12/08,8,HTS-0002,157425,White T-Shirt M,20.0,2
2015/12/01,16,HTS-0001,x6qc1d,Black T-Shirt F,17.5,1
2016/03/17,7,HTS-0003,812419,Hoodie,23.0,2
2015/08/20,12,HTS-0001,0dw77z,White T-Shirt M,20.0,2
2016/10/27,15,HTS-0001,560960,Hoodie,23.0,1
2015/07/03,14,HTS-0003,380538,White T-Shirt F,18.0,2
2014/07/22,14,HTS-0002,362544,White T-Shirt M,20.0,1
2017/01/20,7,HTS-0003,ol2hiq,Black T-Shirt M,19.0,2
2016/11/29,7,HTS-0005,398958,White T-Shirt M,20.0,1
2015/09/17,7,HTS-0002,994126,White T-Shirt F,18.0,1
2015/12/18,5,HTS-0001,8pemkt,Black T-Shirt F,17.5,1
2014/10/08,9,HTS-0001,594313,White T-Shirt M,20.0,3
2017/01/11,4,HTS-0001,223374,Tennis Shirt,24.0,1
2016/12/31,10,HTS-0003,w99by7,White T-Shirt F,18.0,2
2016/08/05,17,HTS-0002,988653,Hoodie,23.0,1
2016/07/06,6,HTS-0006,463199,Black T-Shirt F,17.5,1
2016/11/09,7,HTS-0003,5tuc61,White T-Shirt F,18.0,4
2015/07/18,12,HTS-0002,450838,Hoodie,23.0,1
2016/10/22,13,HTS-0001,1w6ahu,Hoodie,23.0,1
2014/12/12,18,HTS-0001,823834,Hoodie,23.0,3
2013/08/29,9,HTS-0001,253896,Tennis Shirt,24.0,1
2016/09/20,8,HTS-0005,039772,Black T-Shirt M,19.0,3
2013/05/29,14,HTS-0001,006555,Hoodie,23.0,3
2014/11/23,15,HTS-0002,235709,Black T-Shirt M,19.0,2
2014/10/01,13,HTS-0001,754349,Hoodie,23.0,2
2015/08/08,10,HTS-0001,fyxrw6,Black T-Shirt M,19.0,1
2016/01/18,12,HTS-0003,564918,Black T-Shirt M,19.0,1
2016/04/07,5,HTS-0006,929474,Tennis Shirt,24.0,2
2016/07/18,8,HTS-0004,095834,White T-Shirt M,20.0,3
2015/06/24,7,HTS-0005,307845,Hoodie,23.0,3
2015/01/01,5,HTS-0003,763390,Tennis Shirt,24.0,5
2016/04/10,11,HTS-0002,235445,White T-Shirt F,18.0,2
2014/06/17,13,HTS-0001,549066,White T-Shirt F,18.0,1
2016/11/20,9,HTS-0002,h7z848,White T-Shirt M,20.0,23
2017/04/05,11,HTS-0005,462291,Hoodie,23.0,2
2015/06/22,6,HTS-0003,555007,White T-Shirt M,20.0,1
2015/07/12,15,HTS-0001,90kvx6,Hoodie,23.0,6
2017/03/15,9,HTS-0005,465628,Black T-Shirt F,17.5,1
2016/05/12,15,HTS-0002,011451,White T-Shirt M,20.0,4
2016/09/21,10,HTS-0003,699893,White T-Shirt M,20.0,2
2015/12/04,6,HTS-0007,513913,Black T-Shirt F,17.5,4
2015/07/16,9,HTS-0001,229727,White T-Shirt M,20.0,3
2017/04/02,20,HTS-0001,57q9w1,Hoodie,23.0,1
2016/02/10,13,HTS-0001,373544,White T-Shirt F,18.0,1
2015/10/05,13,HTS-0001,j3mhc3,Black T-Shirt M,19.0,1
2016/01/09,15,HTS-0001,8s2p9o,Black T-Shirt M,19.0,1
2016/02/13,9,HTS-0001,06uula,White T-Shirt F,18.0,12
2014/12/06,9,HTS-0002,824401,Black T-Shirt M,19.0,14
2016/05/17,7,HTS-0001,842421,Black T-Shirt M,19.0,1
2013/05/12,13,HTS-0001,495783,Hoodie,23.0,2
2013/12/31,7,HTS-0001,865779,Wh Tshirt M,20.0,14
2015/03/20,13,HTS-0002,881591,White T-Shirt F,18.0,3
